velocity_data_x,velocity_data_y,velocity_data_z
-0.442723,1.428045,-0.000573
-0.442314,1.427378,-0.000569
-0.441917,1.426725,-0.000565
-0.441534,1.426087,-0.000561
-0.441163,1.4254639999999998,-0.000556
-0.440806,1.424855,-0.000552
-0.440461,1.424261,-0.000548
-0.4401279999999999,1.4236799999999998,-0.000544
-0.4398069999999999,1.423113,-0.00054
-0.439497,1.42256,-0.000537
-0.4391989999999999,1.42202,-0.000533
-0.4389119999999999,1.421493,-0.00053
-0.438637,1.42098,-0.000526
-0.4383729999999999,1.420478,-0.000523
-0.43812,1.41999,-0.000519
-0.437878,1.419514,-0.000516
-0.437646,1.41905,-0.000512
-0.437424,1.418598,-0.000509
-0.4372109999999999,1.418158,-0.0005059999999999
-0.437008,1.417729,-0.000503
-0.436814,1.4173129999999998,-0.0005
-0.436629,1.416907,-0.0004969999999999
-0.436453,1.416513,-0.000494
-0.4362859999999999,1.416131,-0.000492
-0.436129,1.415759,-0.000489
-0.435981,1.415399,-0.000486
-0.435842,1.415049,-0.000483
-0.435712,1.414709,-0.0004799999999999
-0.435589,1.41438,-0.0004769999999999
-0.435475,1.414061,-0.000474
-0.435368,1.413751,-0.000471
-0.435268,1.413451,-0.000469
-0.435175,1.41316,-0.000466
-0.435089,1.412878,-0.0004639999999999
-0.435009,1.412605,-0.000461
-0.434934,1.412341,-0.000459
-0.4348649999999999,1.412086,-0.000457
-0.434802,1.41184,-0.000454
-0.434743,1.411602,-0.000452
-0.4346899999999999,1.411373,-0.00045
-0.434642,1.411153,-0.0004469999999999
-0.4345989999999999,1.41094,-0.000445
-0.434563,1.410736,-0.000443
-0.434532,1.410539,-0.00044
-0.434508,1.410351,-0.0004379999999999
-0.4344909999999999,1.410169,-0.0004349999999999
-0.43448,1.409995,-0.000433
-0.434477,1.409828,-0.00043
-0.43449,1.409515,-0.000426
-0.434506,1.409367,-0.000423
-0.434529,1.409226,-0.000421
-0.434556,1.409092,-0.0004179999999999
-0.434589,1.408963,-0.000416
-0.434627,1.40884,-0.000414
-0.43467,1.408724,-0.000411
-0.434717,1.408613,-0.0004089999999999
-0.434768,1.408508,-0.000407
-0.434824,1.408409,-0.000404
-0.434883,1.408315,-0.0004019999999999
-0.434946,1.408228,-0.000399
-0.435013,1.408146,-0.000397
-0.435084,1.408069,-0.000395
-0.4351569999999999,1.407997,-0.000392
-0.435233,1.40793,-0.00039
-0.4353109999999999,1.407868,-0.000387
-0.4353899999999999,1.407811,-0.000385
-0.4354699999999999,1.407759,-0.0003819999999999
